pH,qt,Removal,finalpH,LeachingMg
2.0,13.749958,77.019,10.235837,9.549776
3.0,14.000161,79.249084,10.435408,4.567632
4.0,13.918123,79.54115,10.628124,1.831032
5.0,15.657447,79.698685,10.737974,0.82091355
6.0,13.335361,83.33558,10.7827425,1.3524389
7.0,12.697368,84.85492,10.815677,2.4379659
8.0,12.686976,84.13716,10.8939,1.837832
9.0,12.318806,84.06526,10.97127,1.5258427
10.0,11.920481,83.76642,11.070251,1.2716601
11.0,9.859701,72.68691,11.569727,0.8479973
12.0,7.8697877,59.28613,12.147277,0.43842483
